Date,Home Team,Road Team,city,state,league,sport
8/20/23,Inter Miami CF,Charlotte FC,Fort Lauderdale,Florida,MLS,Soccer
8/20/23,Columbus Crew,FC Cincinnati,Columbus,Ohio,MLS,Soccer
8/20/23,Philadelphia Union,FC Dallas,Chester,Pennsylvania,MLS,Soccer
8/20/23,Toronto FC,CF Montréal,Toronto,Ontario,MLS,Soccer
8/20/23,New York City FC,Minnesota United FC,New York City,New York,MLS,Soccer
8/20/23,New York Red Bulls,D.C. United,Harrison,New Jersey,MLS,Soccer
8/20/23,Nashville SC,New England Revolution,Nashville,Tennessee,MLS,Soccer
8/20/23,Houston Dynamo FC,Portland Timbers,Houston,Texas,MLS,Soccer
8/20/23,Chicago Fire FC,Orlando City SC,Chicago,Illinois,MLS,Soccer
8/20/23,St. Louis City SC,Austin FC,St. Louis,Missouri,MLS,Soccer
8/20/23,Seattle Sounders FC,Atlanta United FC,Seattle,Washington,MLS,Soccer
8/20/23,Los Angeles FC,Colorado Rapids,Los Angeles,California,MLS,Soccer
8/20/23,LA Galaxy,Real Salt Lake,Carson,California,MLS,Soccer
8/20/23,Vancouver Whitecaps FC,San Jose Earthquakes,Vancouver,British Columbia,MLS,Soccer
8/26/23,Atlanta United FC,Nashville SC,Atlanta,Georgia,MLS,Soccer
8/26/23,D.C. United,Philadelphia Union,Washington D.C.,Washington D.C.,MLS,Soccer
8/26/23,CF Montréal,New England Revolution,Montreal,Quebec,MLS,Soccer
8/26/23,Charlotte FC,Los Angeles FC,Charlotte,North Carolina,MLS,Soccer
8/26/23,New York Red Bulls,Inter Miami CF,Harrison,New Jersey,MLS,Soccer
8/26/23,FC Cincinnati,New York City FC,Cincinnati,Ohio,MLS,Soccer
8/26/23,Orlando City SC,St. Louis City SC,Orlando,Florida,MLS,Soccer
8/26/23,Columbus Crew,Toronto FC,Columbus,Ohio,MLS,Soccer
8/26/23,FC Dallas,Austin FC,Frisco,Texas,MLS,Soccer
