Date,Home Team,Road Team,City,State,League,Sport
03/30/23,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
03/30/23,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
03/30/23,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
03/30/23,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
03/30/23,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
03/30/23,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
03/30/23,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
03/30/23,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
03/30/23,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
03/30/23,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
03/30/23,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
03/30/23,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
03/30/23,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
03/30/23,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
03/30/23,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
03/31/23,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
03/31/23,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
03/31/23,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
03/31/23,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
03/31/23,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
04/01/23,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
04/01/23,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
04/01/23,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
04/01/23,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
04/01/23,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
04/01/23,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
04/01/23,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
04/01/23,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
04/01/23,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
04/01/23,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
04/01/23,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
04/01/23,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
04/01/23,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
04/01/23,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
04/01/23,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
04/02/23,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
04/02/23,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
04/02/23,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
04/02/23,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
04/02/23,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
04/02/23,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
04/02/23,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
04/02/23,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
04/02/23,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
04/02/23,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
04/02/23,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
04/02/23,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
04/02/23,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
04/02/23,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
04/02/23,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
04/03/23,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
04/03/23,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
04/03/23,Cincinnati Reds,Chicago Cubs,Cincinnati,Ohio,MLB,Baseball
04/03/23,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
