Date,Home Team,Road Team,City,State,League,Sport
08/03/23,Cleveland Browns,New York Jets,Cleveland,Ohio,NFL,Football
08/10/23,New England Patriots,Houston Texans,Foxborough,Massachusetts,NFL,Football
08/10/23,Seattle Seahawks,Minnesota Vikings,Seattle,Washington,NFL,Football
08/11/23,Cincinnati Bengals,Green Bay Packers,Cincinnati,Ohio,NFL,Football
08/11/23,Detroit Lions,New York Giants,Detroit,Michigan,NFL,Football
08/11/23,Miami Dolphins,Atlanta Falcons,Miami Gardens,Florida,NFL,Football
08/11/23,Tampa Bay Buccaneers,Pittsburgh Steelers,Tampa,Florida,NFL,Football
08/11/23,Cleveland Browns,Washington Commanders,Cleveland,Ohio,NFL,Football
08/11/23,Arizona Cardinals,Denver Broncos,Glendale,Arizona,NFL,Football
08/12/23,Buffalo Bills,Indianapolis Colts,Buffalo,New York,NFL,Football
08/12/23,Chicago Bears,Tennessee Titans,Chicago,Illinois,NFL,Football
08/12/23,Carolina Panthers,New York Jets,Charlotte,North Carolina,NFL,Football
08/12/23,Dallas Cowboys,Jacksonville Jaguars,Arlington,Texas,NFL,Football
08/12/23,Baltimore Ravens,Philadelphia Eagles,Baltimore,Maryland,NFL,Football
08/12/23,Los Angeles Rams,Los Angeles Chargers,Inglewood,California,NFL,Football
08/13/23,New Orleans Saints,Kansas City Chiefs,New Orleans,Louisiana,NFL,Football
08/13/23,Las Vegas Raiders,San Francisco 49ers,Las Vegas,Nevada,NFL,Football
08/17/23,Philadelphia Eagles,Cleveland Browns,Philadelphia,Pennsylvania,NFL,Football
08/18/23,New York Giants,Carolina Panthers,East Rutherford,New Jersey,NFL,Football
08/18/23,Atlanta Falcons,Cincinnati Bengals,Atlanta,Georgia,NFL,Football
08/19/23,Detroit Lions,Jacksonville Jaguars,Detroit,Michigan,NFL,Football
08/19/23,Houston Texans,Miami Dolphins,Houston,Texas,NFL,Football
08/19/23,Pittsburgh Steelers,Buffalo Bills,Pittsburgh,Pennsylvania,NFL,Football
08/19/23,Indianapolis Colts,Chicago Bears,Indianapolis,Indiana,NFL,Football
