Home Team,Road Team,Date,Sport
Boston Red Sox,Baltimore Orioles,"March 30, 2023",Baseball
Chicago Cubs,Milwaukee Brewers,"March 30, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"March 30, 2023",Baseball
Houston Astros,Chicago White Sox,"March 30, 2023",Baseball
Kansas City Royals,Minnesota Twins,"March 30, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"March 30, 2023",Baseball
Miami Marlins,New York Mets,"March 30, 2023",Baseball
New York Yankees,San Francisco Giants,"March 30, 2023",Baseball
Oakland Athletics,Los Angeles Angels,"March 30, 2023",Baseball
San Diego Padres,Colorado Rockies,"March 30, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"March 30, 2023",Baseball
St. Louis Cardinals,Toronto Blue Jays,"March 30, 2023",Baseball
Tampa Bay Rays,Detroit Tigers,"March 30, 2023",Baseball
Texas Rangers,Philadelphia Phillies,"March 30, 2023",Baseball
Washington Nationals,Atlanta Braves,"March 30, 2023",Baseball
Houston Astros,Chicago White Sox,"March 31, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"March 31, 2023",Baseball
Miami Marlins,New York Mets,"March 31, 2023",Baseball
San Diego Padres,Colorado Rockies,"March 31, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"March 31, 2023",Baseball
Boston Red Sox,Baltimore Orioles,"April 01, 2023",Baseball
Chicago Cubs,Milwaukee Brewers,"April 01, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"April 01, 2023",Baseball
Houston Astros,Chicago White Sox,"April 01, 2023",Baseball
Kansas City Royals,Minnesota Twins,"April 01, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"April 01, 2023",Baseball
Miami Marlins,New York Mets,"April 01, 2023",Baseball
New York Yankees,San Francisco Giants,"April 01, 2023",Baseball
Oakland Athletics,Los Angeles Angels,"April 01, 2023",Baseball
San Diego Padres,Colorado Rockies,"April 01, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"April 01, 2023",Baseball
St. Louis Cardinals,Toronto Blue Jays,"April 01, 2023",Baseball
Tampa Bay Rays,Detroit Tigers,"April 01, 2023",Baseball
Texas Rangers,Philadelphia Phillies,"April 01, 2023",Baseball
Washington Nationals,Atlanta Braves,"April 01, 2023",Baseball
Boston Red Sox,Baltimore Orioles,"April 02, 2023",Baseball
Chicago Cubs,Milwaukee Brewers,"April 02, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"April 02, 2023",Baseball
Houston Astros,Chicago White Sox,"April 02, 2023",Baseball
Kansas City Royals,Minnesota Twins,"April 02, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"April 02, 2023",Baseball
Miami Marlins,New York Mets,"April 02, 2023",Baseball
New York Yankees,San Francisco Giants,"April 02, 2023",Baseball
Oakland Athletics,Los Angeles Angels,"April 02, 2023",Baseball
San Diego Padres,Colorado Rockies,"April 02, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"April 02, 2023",Baseball
St. Louis Cardinals,Toronto Blue Jays,"April 02, 2023",Baseball
Tampa Bay Rays,Detroit Tigers,"April 02, 2023",Baseball
Texas Rangers,Philadelphia Phillies,"April 02, 2023",Baseball
Washington Nationals,Atlanta Braves,"April 02, 2023",Baseball
Boston Red Sox,Pittsburgh Pirates,"April 03, 2023",Baseball
Chicago White Sox,San Francisco Giants,"April 03, 2023",Baseball
Cincinnati Reds,Chicago Cubs,"April 03, 2023",Baseball
Houston Astros,Detroit Tigers,"April 03, 2023",Baseball
Kansas City Royals,Toronto Blue Jays,"April 03, 2023",Baseball
Los Angeles Dodgers,Colorado Rockies,"April 03, 2023",Baseball
Miami Marlins,Minnesota Twins,"April 03, 2023",Baseball
Milwaukee Brewers,New York Mets,"April 03, 2023",Baseball
New York Yankees,Philadelphia Phillies,"April 03, 2023",Baseball
Oakland Athletics,Cleveland Guardians,"April 03, 2023",Baseball
San Diego Padres,Arizona Diamondbacks,"April 03, 2023",Baseball
Seattle Mariners,Los Angeles Angels,"April 03, 2023",Baseball
St. Louis Cardinals,Atlanta Braves,"April 03, 2023",Baseball
Texas Rangers,Baltimore Orioles,"April 03, 2023",Baseball
Washington Nationals,Tampa Bay Rays,"April 03, 2023",Baseball
Boston Red Sox,Pittsburgh Pirates,"April 04, 2023",Baseball
Cincinnati Reds,Chicago Cubs,"April 04, 2023",Baseball
Houston Astros,Detroit Tigers,"April 04, 2023",Baseball
Kansas City Royals,Toronto Blue Jays,"April 04, 2023",Baseball
