Team Name,City,State
Baltimore Orioles,Baltimore,Maryland
Boston Red Sox,Boston,Massachusetts
New York Yankees,New York,New York
Tampa Bay Rays,Tampa,Florida
Toronto Blue Jays,Toronto,Ontario
Chicago White Sox,Chicago,Illinois
Cleveland Guardians,Cleveland,Ohio
Detroit Tigers,Detroit,Michigan
Kansas City Royals,Kansas City,Missouri
Minnesota Twins,Minneapolis,Minnesota
Houston Astros,Houston,Texas
Los Angeles Angels,Los Angeles,California
Oakland Athletics,Oakland,California
Seattle Mariners,Seattle,Washington
Texas Rangers,Arlington,Texas
Atlanta Braves,Atlanta,Georgia
Miami Marlins,Miami,Florida
New York Mets,New York,New York
Philadelphia Phillies,Philadelphia,Pennsylvania
Washington Nationals,Washington D.C.,Washington D.C.
Chicago Cubs,Chicago,Illinois
Cincinnati Reds,Cincinnati,Ohio
Milwaukee Brewers,Milwaukee,Wisconsin
Pittsburgh Pirates,Pittsburgh,Pennsylvania
St. Louis Cardinals,St. Louis,Missouri
Arizona Diamondbacks,Phoenix,Arizona
Colorado Rockies,Denver,Colorado
Los Angeles Dodgers,Los Angeles,California
San Diego Padres,San Diego,California
San Francisco Giants,San Francisco,California
