Date,Home Team,Road Team
8/20/23,Inter Miami CF,Charlotte FC
8/20/23,Columbus Crew,FC Cincinnati
8/20/23,Philadelphia Union,FC Dallas
8/20/23,Toronto FC,CF Montréal
8/20/23,New York City FC,Minnesota United FC
8/20/23,New York Red Bulls,D.C. United
8/20/23,Nashville SC,New England Revolution
8/20/23,Houston Dynamo FC,Portland Timbers
8/20/23,Chicago Fire FC,Orlando City SC
8/20/23,St. Louis City SC,Austin FC
8/20/23,Seattle Sounders FC,Atlanta United FC
8/20/23,Los Angeles FC,Colorado Rapids
8/20/23,LA Galaxy,Real Salt Lake
8/20/23,Vancouver Whitecaps FC,San Jose Earthquakes
8/26/23,Atlanta United FC,Nashville SC
8/26/23,D.C. United,Philadelphia Union
8/26/23,CF Montréal,New England Revolution
8/26/23,Charlotte FC,Los Angeles FC
8/26/23,New York Red Bulls,Inter Miami CF
8/26/23,FC Cincinnati,New York City FC
8/26/23,Orlando City SC,St. Louis City SC
8/26/23,Columbus Crew,Toronto FC
8/26/23,FC Dallas,Austin FC
8/26/23,Sporting Kansas City,San Jose Earthquakes
8/26/23,Real Salt Lake,Houston Dynamo FC
8/26/23,Portland Timbers,Vancouver Whitecaps FC
8/26/23,LA Galaxy,Chicago Fire FC
8/27/23,Minnesota United FC,Seattle Sounders FC
8/30/23,New York City FC,CF Montréal
8/30/23,Inter Miami CF,Nashville SC
8/30/23,Toronto FC,Philadelphia Union
8/30/23,Atlanta United FC,FC Cincinnati
8/30/23,New England Revolution,New York Red Bulls
8/30/23,Charlotte FC,Orlando City SC
8/30/23,Houston Dynamo FC,Columbus Crew
8/30/23,St. Louis City SC,FC Dallas
8/30/23,Chicago Fire FC,Vancouver Whitecaps FC
8/30/23,Minnesota United FC,Colorado Rapids
8/30/23,Austin FC,Seattle Sounders FC
8/30/23,San Jose Earthquakes,LA Galaxy
8/30/23,Portland Timbers,Real Salt Lake
9/2/23,New York City FC,Vancouver Whitecaps FC
9/2/23,D.C. United,Chicago Fire FC
9/2/23,CF Montréal,Columbus Crew
9/2/23,FC Cincinnati,Orlando City SC
9/2/23,Sporting Kansas City,St. Louis City SC
9/2/23,Nashville SC,Charlotte FC
9/2/23,FC Dallas,Atlanta United FC
9/2/23,Real Salt Lake,Colorado Rapids
9/2/23,LA Galaxy,Houston Dynamo FC
9/2/23,Seattle Sounders FC,Portland Timbers
9/2/23,San Jose Earthquakes,Minnesota United FC
9/3/23,Philadelphia Union,New York Red Bulls
9/3/23,Los Angeles FC,Inter Miami CF
9/9/23,D.C. United,San Jose Earthquakes
9/9/23,Inter Miami CF,Sporting Kansas City
9/9/23,Minnesota United FC,New England Revolution
9/9/23,Portland Timbers,Los Angeles FC
9/10/23,LA Galaxy,St. Louis City SC
9/16/23,New York City FC,New York Red Bulls
9/16/23,Charlotte FC,D.C. United
9/16/23,Atlanta United FC,Inter Miami CF
9/16/23,Toronto FC,Vancouver Whitecaps FC
9/16/23,Philadelphia Union,FC Cincinnati
9/16/23,Orlando City SC,Columbus Crew
9/16/23,CF Montréal,Chicago Fire FC
9/16/23,Houston Dynamo FC,St. Louis City SC
9/16/23,Minnesota United FC,Sporting Kansas City
9/16/23,FC Dallas,Seattle Sounders FC
9/16/23,Colorado Rapids,New England Revolution
9/16/23,Los Angeles FC,LA Galaxy
9/16/23,San Jose Earthquakes,Real Salt Lake
9/17/23,Austin FC,Portland Timbers
9/20/23,Charlotte FC,Philadelphia Union
9/20/23,D.C. United,Atlanta United FC
9/20/23,CF Montréal,FC Cincinnati
9/20/23,New York City FC,Orlando City SC
9/20/23,Inter Miami CF,Toronto FC
9/20/23,Columbus Crew,Chicago Fire FC
9/20/23,New York Red Bulls,Austin FC
9/20/23,Houston Dynamo FC,Vancouver Whitecaps FC
9/20/23,Sporting Kansas City,Nashville SC
9/20/23,St. Louis City SC,Los Angeles FC
9/20/23,Real Salt Lake,FC Dallas
