Team Name,City,State
Atlanta United FC,Atlanta,Georgia
Austin FC,Austin,Texas
Charlotte FC,Charlotte,North Carolina
Chicago Fire FC,Chicago,Illinois
FC Cincinnati,Cincinnati,Ohio
Columbus Crew,Columbus,Ohio
D.C. United,Washington D.C.,Washington D.C.
Inter Miami CF,Fort Lauderdale,Florida
CF Montréal,Montreal,Quebec
Nashville SC,Nashville,Tennessee
New England Revolution,Foxborough,Massachusetts
New York City FC,New York City,New York
New York Red Bulls,Harrison,New Jersey
Orlando City SC,Orlando,Florida
Philadelphia Union,Chester,Pennsylvania
Toronto FC,Toronto,Ontario
Colorado Rapids,Commerce City,Colorado
FC Dallas,Frisco,Texas
Houston Dynamo FC,Houston,Texas
Sporting Kansas City,Kansas City,Kansas
LA Galaxy,Carson,California
Los Angeles FC,Los Angeles,California
Minnesota United FC,Saint Paul,Minnesota
Portland Timbers,Portland,Oregon
Real Salt Lake,Sandy,Utah
San Jose Earthquakes,San Jose,California
Seattle Sounders FC,Seattle,Washington
St. Louis City SC,St. Louis,Missouri
Vancouver Whitecaps FC,Vancouver,British Columbia
