Team Name,City,State
Atlanta Hawks,Atlanta,Georgia
Boston Celtics,Boston,Massachusetts
Brooklyn Nets,Brooklyn,New York
Charlotte Hornets,Charlotte,North Carolina
Chicago Bulls,Chicago,Illinois
Cleveland Cavaliers,Cleveland,Ohio
Dallas Mavericks,Dallas,Texas
Denver Nuggets,Denver,Colorado
Detroit Pistons,Detroit,Michigan
Golden State Warriors,San Francisco,California
Houston Rockets,Houston,Texas
Indiana Pacers,Indianapolis,Indiana
LA Clippers,Los Angeles,California
Los Angeles Lakers,Los Angeles,California
Memphis Grizzlies,Memphis,Tennessee
Miami Heat,Miami,Florida
Milwaukee Bucks,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,Louisiana
New York Knicks,New York City,New York
Oklahoma City Thunder,Oklahoma City,Oklahoma
Orlando Magic,Orlando,Florida
Philadelphia 76ers,Philadelphia,Pennsylvania
Phoenix Suns,Phoenix,Arizona
Portland Trail Blazers,Portland,Oregon
Sacramento Kings,Sacramento,California
San Antonio Spurs,San Antonio,Texas
Toronto Raptors,Toronto,Ontario
Utah Jazz,Salt Lake City,Utah
Washington Wizards,Washington D.C.,Washington D.C.
