Team Name,City,State
Arizona Cardinals,Glendale,Arizona
Atlanta Falcons,Atlanta,Georgia
Baltimore Ravens,Baltimore,Maryland
Buffalo Bills,Buffalo,New York
Carolina Panthers,Charlotte,North Carolina
Chicago Bears,Chicago,Illinois
Cincinnati Bengals,Cincinnati,Ohio
Cleveland Browns,Cleveland,Ohio
Dallas Cowboys,Arlington,Texas
Denver Broncos,Denver,Colorado
Detroit Lions,Detroit,Michigan
Green Bay Packers,Green Bay,Wisconsin
Houston Texans,Houston,Texas
Indianapolis Colts,Indianapolis,Indiana
Jacksonville Jaguars,Jacksonville,Florida
Kansas City Chiefs,Kansas City,Missouri
Las Vegas Raiders,Las Vegas,Nevada
Los Angeles Chargers,Inglewood,California
Los Angeles Rams,Inglewood,California
Miami Dolphins,Miami Gardens,Florida
Minnesota Vikings,Minneapolis,Minnesota
New England Patriots,Foxborough,Massachusetts
New Orleans Saints,New Orleans,Louisiana
New York Giants,East Rutherford,New Jersey
New York Jets,East Rutherford,New Jersey
Philadelphia Eagles,Philadelphia,Pennsylvania
Pittsburgh Steelers,Pittsburgh,Pennsylvania
San Francisco 49ers,Santa Clara,California
Seattle Seahawks,Seattle,Washington
Tampa Bay Buccaneers,Tampa,Florida
Tennessee Titans,Nashville,Tennessee
Washington Commanders,Washington D.C.,Washington D.C.
