Team Name,City,State
Anaheim Ducks,Anaheim,California
Arizona Coyotes,Glendale,Arizona
Boston Bruins,Boston,Massachusetts
Buffalo Sabres,Buffalo,New York
Calgary Flames,Calgary,Alberta
Carolina Hurricanes,Raleigh,North Carolina
Chicago Blackhawks,Chicago,Illinois
Colorado Avalanche,Denver,Colorado
Columbus Blue Jackets,Columbus,Ohio
Dallas Stars,Dallas,Texas
Detroit Red Wings,Detroit,Michigan
Edmonton Oilers,Edmonton,Alberta
Florida Panthers,Sunrise,Florida
Los Angeles Kings,Los Angeles,California
Minnesota Wild,Saint Paul,Minnesota
Montreal Canadiens,Montreal,Quebec
Nashville Predators,Nashville,Tennessee
New Jersey Devils,Newark,New Jersey
New York Islanders,Uniondale,New York
New York Rangers,New York City,New York
Ottawa Senators,Ottawa,Ontario
Philadelphia Flyers,Philadelphia,Pennsylvania
Pittsburgh Penguins,Pittsburgh,Pennsylvania
San Jose Sharks,San Jose,California
Seattle Kraken,Seattle,Washington
St. Louis Blues,St. Louis,Missouri
Tampa Bay Lightning,Tampa,Florida
Toronto Maple Leafs,Toronto,Ontario
Vancouver Canucks,Vancouver,British Columbia
Vegas Golden Knights,Las Vegas,Nevada
Washington Capitals,Washington D.C.,Washington D.C.
Winnipeg Jets,Winnipeg,Manitoba
