id,game_date,home_team,road_team,city,state,league,sport
1,8/20/2023,Inter Miami CF,Charlotte FC,Fort Lauderdale,Florida,MLS,Soccer
2,8/20/2023,Columbus Crew,FC Cincinnati,Columbus,Ohio,MLS,Soccer
3,8/20/2023,Philadelphia Union,FC Dallas,Chester,Pennsylvania,MLS,Soccer
4,8/20/2023,Toronto FC,CF Montréal,Toronto,Ontario,MLS,Soccer
5,8/20/2023,New York City FC,Minnesota United FC,New York City,New York,MLS,Soccer
6,8/20/2023,New York Red Bulls,D.C. United,Harrison,New Jersey,MLS,Soccer
7,8/20/2023,Nashville SC,New England Revolution,Nashville,Tennessee,MLS,Soccer
8,8/20/2023,Houston Dynamo FC,Portland Timbers,Houston,Texas,MLS,Soccer
9,8/20/2023,Chicago Fire FC,Orlando City SC,Chicago,Illinois,MLS,Soccer
10,8/20/2023,St. Louis City SC,Austin FC,St. Louis,Missouri,MLS,Soccer
11,8/20/2023,Seattle Sounders FC,Atlanta United FC,Seattle,Washington,MLS,Soccer
12,8/20/2023,Los Angeles FC,Colorado Rapids,Los Angeles,California,MLS,Soccer
13,8/20/2023,LA Galaxy,Real Salt Lake,Carson,California,MLS,Soccer
14,8/20/2023,Vancouver Whitecaps FC,San Jose Earthquakes,Vancouver,British Columbia,MLS,Soccer
15,8/26/2023,Atlanta United FC,Nashville SC,Atlanta,Georgia,MLS,Soccer
16,8/26/2023,D.C. United,Philadelphia Union,Washington D.C.,Washington D.C.,MLS,Soccer
17,8/26/2023,CF Montréal,New England Revolution,Montreal,Quebec,MLS,Soccer
18,8/26/2023,Charlotte FC,Los Angeles FC,Charlotte,North Carolina,MLS,Soccer
19,8/26/2023,New York Red Bulls,Inter Miami CF,Harrison,New Jersey,MLS,Soccer
20,8/26/2023,FC Cincinnati,New York City FC,Cincinnati,Ohio,MLS,Soccer
21,8/26/2023,Orlando City SC,St. Louis City SC,Orlando,Florida,MLS,Soccer
22,8/26/2023,Columbus Crew,Toronto FC,Columbus,Ohio,MLS,Soccer
23,8/26/2023,FC Dallas,Austin FC,Frisco,Texas,MLS,Soccer
24,8/26/2023,Sporting Kansas City,San Jose Earthquakes,Kansas City,Kansas,MLS,Soccer
25,8/26/2023,Real Salt Lake,Houston Dynamo FC,Sandy,Utah,MLS,Soccer
26,8/26/2023,Portland Timbers,Vancouver Whitecaps FC,Portland,Oregon,MLS,Soccer
27,8/26/2023,LA Galaxy,Chicago Fire FC,Carson,California,MLS,Soccer
28,8/27/2023,Minnesota United FC,Seattle Sounders FC,Saint Paul,Minnesota,MLS,Soccer
29,8/30/2023,New York City FC,CF Montréal,New York City,New York,MLS,Soccer
30,8/30/2023,Inter Miami CF,Nashville SC,Fort Lauderdale,Florida,MLS,Soccer
31,8/30/2023,Toronto FC,Philadelphia Union,Toronto,Ontario,MLS,Soccer
32,8/30/2023,Atlanta United FC,FC Cincinnati,Atlanta,Georgia,MLS,Soccer
33,8/30/2023,New England Revolution,New York Red Bulls,Foxborough,Massachusetts,MLS,Soccer
34,8/30/2023,Charlotte FC,Orlando City SC,Charlotte,North Carolina,MLS,Soccer
35,8/30/2023,Houston Dynamo FC,Columbus Crew,Houston,Texas,MLS,Soccer
36,8/30/2023,St. Louis City SC,FC Dallas,St. Louis,Missouri,MLS,Soccer
37,8/30/2023,Chicago Fire FC,Vancouver Whitecaps FC,Chicago,Illinois,MLS,Soccer
38,8/30/2023,Minnesota United FC,Colorado Rapids,Saint Paul,Minnesota,MLS,Soccer
39,8/30/2023,Austin FC,Seattle Sounders FC,Austin,Texas,MLS,Soccer
40,8/30/2023,San Jose Earthquakes,LA Galaxy,San Jose,California,MLS,Soccer
41,8/30/2023,Portland Timbers,Real Salt Lake,Portland,Oregon,MLS,Soccer
42,9/2/2023,New York City FC,Vancouver Whitecaps FC,New York City,New York,MLS,Soccer
43,9/2/2023,D.C. United,Chicago Fire FC,Washington D.C.,Washington D.C.,MLS,Soccer
44,9/2/2023,CF Montréal,Columbus Crew,Montreal,Quebec,MLS,Soccer
45,9/2/2023,FC Cincinnati,Orlando City SC,Cincinnati,Ohio,MLS,Soccer
46,9/2/2023,Sporting Kansas City,St. Louis City SC,Kansas City,Kansas,MLS,Soccer
47,9/2/2023,Nashville SC,Charlotte FC,Nashville,Tennessee,MLS,Soccer
48,9/2/2023,FC Dallas,Atlanta United FC,Frisco,Texas,MLS,Soccer
49,9/2/2023,Real Salt Lake,Colorado Rapids,Sandy,Utah,MLS,Soccer
50,9/2/2023,LA Galaxy,Houston Dynamo FC,Carson,California,MLS,Soccer
51,9/2/2023,Seattle Sounders FC,Portland Timbers,Seattle,Washington,MLS,Soccer
52,9/2/2023,San Jose Earthquakes,Minnesota United FC,San Jose,California,MLS,Soccer
53,9/3/2023,Philadelphia Union,New York Red Bulls,Chester,Pennsylvania,MLS,Soccer
54,9/3/2023,Los Angeles FC,Inter Miami CF,Los Angeles,California,MLS,Soccer
55,9/9/2023,D.C. United,San Jose Earthquakes,Washington D.C.,Washington D.C.,MLS,Soccer
56,9/9/2023,Inter Miami CF,Sporting Kansas City,Fort Lauderdale,Florida,MLS,Soccer
57,9/9/2023,Minnesota United FC,New England Revolution,Saint Paul,Minnesota,MLS,Soccer
