id,game_date,home_team,road_team,city,state,league,sport
1,2023-08-20,Inter Miami CF,Charlotte FC,Fort Lauderdale,Florida,MLS,Soccer
2,2023-08-20,Columbus Crew,FC Cincinnati,Columbus,Ohio,MLS,Soccer
3,2023-08-20,Philadelphia Union,FC Dallas,Chester,Pennsylvania,MLS,Soccer
4,2023-08-20,Toronto FC,CF Montréal,Toronto,Ontario,MLS,Soccer
5,2023-08-20,New York City FC,Minnesota United FC,New York City,New York,MLS,Soccer
6,2023-08-20,New York Red Bulls,D.C. United,Harrison,New Jersey,MLS,Soccer
7,2023-08-20,Nashville SC,New England Revolution,Nashville,Tennessee,MLS,Soccer
8,2023-08-20,Houston Dynamo FC,Portland Timbers,Houston,Texas,MLS,Soccer
9,2023-08-20,Chicago Fire FC,Orlando City SC,Chicago,Illinois,MLS,Soccer
10,2023-08-20,St. Louis City SC,Austin FC,St. Louis,Missouri,MLS,Soccer
11,2023-08-20,Seattle Sounders FC,Atlanta United FC,Seattle,Washington,MLS,Soccer
12,2023-08-20,Los Angeles FC,Colorado Rapids,Los Angeles,California,MLS,Soccer
13,2023-08-20,LA Galaxy,Real Salt Lake,Carson,California,MLS,Soccer
14,2023-08-20,Vancouver Whitecaps FC,San Jose Earthquakes,Vancouver,British Columbia,MLS,Soccer
15,2023-08-26,Atlanta United FC,Nashville SC,Atlanta,Georgia,MLS,Soccer
16,2023-08-26,D.C. United,Philadelphia Union,Washington D.C.,Washington D.C.,MLS,Soccer
17,2023-08-26,CF Montréal,New England Revolution,Montreal,Quebec,MLS,Soccer
18,2023-08-26,Charlotte FC,Los Angeles FC,Charlotte,North Carolina,MLS,Soccer
19,2023-08-26,New York Red Bulls,Inter Miami CF,Harrison,New Jersey,MLS,Soccer
20,2023-08-26,FC Cincinnati,New York City FC,Cincinnati,Ohio,MLS,Soccer
21,2023-08-26,Orlando City SC,St. Louis City SC,Orlando,Florida,MLS,Soccer
22,2023-08-26,Columbus Crew,Toronto FC,Columbus,Ohio,MLS,Soccer
23,2023-08-26,FC Dallas,Austin FC,Frisco,Texas,MLS,Soccer
24,2023-08-26,Sporting Kansas City,San Jose Earthquakes,Kansas City,Kansas,MLS,Soccer
25,2023-08-26,Real Salt Lake,Houston Dynamo FC,Sandy,Utah,MLS,Soccer
26,2023-08-26,Portland Timbers,Vancouver Whitecaps FC,Portland,Oregon,MLS,Soccer
27,2023-08-26,LA Galaxy,Chicago Fire FC,Carson,California,MLS,Soccer
28,2023-08-27,Minnesota United FC,Seattle Sounders FC,Saint Paul,Minnesota,MLS,Soccer
29,2023-08-30,New York City FC,CF Montréal,New York City,New York,MLS,Soccer
